bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
103226500,specimen,56589,236,JAY C. BRUCE,183,University of Michigan Museum of Zoology,"183,202375",UMMZ Mammal Collection,1925-08-12T01:00Z,1925,12 AUG 1925,"Puma concolor subsp. oregonensis (Rafinesque, 1832)",Puma concolor oregonensis,Puma concolor couguar,,eastern cougar;eastern puma,552789,622093,,39.52824020385742,-122.8502426147461,,,134.0,,,,,06033,Lake,Lake County,California,California,,,,US,http://www.ummz.umich.edu/index.html,,,,,,CC0_1_0
108115113,observation,807774,,Jeanne Wirka,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2012-09-09T02:00Z,2012,09/09/12,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,38.369468688964844,-122.49900817871094,,,,,,,,06097,,Sonoma County,,California,,,AK,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
108188747,observation,599925,,susiebennett,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2014-03-28T01:00Z,2014,2014-03-28,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,37.55213165283203,-122.49503326416016,,,105.0,,,,,06081,,San Mateo County,,California,,,AK,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
108481112,specimen,86913,,Collector(s): A. G. Ames,124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),1921-05-17T01:00Z,1921,17 May 1921,"Puma concolor subsp. oregonensis (Rafinesque, 1832)",Puma concolor oregonensis,Puma concolor couguar,,eastern cougar;eastern puma,552789,622093,,44.398536682128906,-122.48158264160156,,,75.64,,,,,41043,Linn County,Linn County,Oregon,Oregon,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
107646840,observation,484121,,Bill Miller,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2013-06-04T04:30Z,2013,2013-06-04 02:30,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,38.44969940185547,-122.51905822753906,,,10.0,,,,,06097,,Sonoma County,,California,,,AK,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
108298498,observation,1737608,,JS Young,407,iNaturalist.org,"407,202485",iNaturalist Research-grade Observations,2015-06-30T02:00Z,2015,2015-06-30,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,37.78805923461914,-122.49018096923828,,,429.0,,,,,06075,,San Francisco County,,California,,,AK,US,http://www.inaturalist.org,http://www.inaturalist.org/observations,,,,,CC_BY_NC_4_0
108310724,specimen,Mammal-05155,,S. G. Jewett,95,James R. Slater Museum of Natural History,"95,201859",PSM Vertebrates Collection,1913-01-01T01:00Z,1913,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,43.865840911865234,-122.48917388916016,,,980.0,,,,,41039,Lane,Lane County,Oregon,Oregon,,,AK,US,http://nhmuseum.ups.edu/,http://www.pugetsound.edu/academics/academic-resources/slater-museum/about-the-museum/collections-summary,,,,,CC0_1_0
108053319,specimen,44722,,Collector(s): unknown,124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),,,not recorded,"Puma concolor subsp. missoulensis (Goldman, 1943)",Puma concolor missoulensis,Puma concolor couguar,,eastern cougar;eastern puma,552788,622093,,52.99972915649414,-122.5010757446289,,,4741.13,,,,,5941,,Cariboo,British Columbia,British Columbia Canada,,,,CA,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
88280648,specimen,1987,,CDF&G,410,Humboldt State University,"410,202735",HSU Wildlife Mammals,1984-10-01T01:00Z,1984,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,mountain lion,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,,,California,,,,AK,US,http://www.humboldt.edu,,,,,,CC0_1_0
88280650,observation,TSA:Puma_concolor_V_1854_2_1,,"Frommolt, Karl-Heinz",118,Museum für Naturkunde Berlin,"118,14719",Animal Sound Archive,,,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,,,,,,,AK,CA,http://www.naturkundemuseum-berlin.de,,,,,,CC_BY_4_0
88280662,specimen,69979,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-01-06T01:00Z,1990,06-Jan-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280663,specimen,69997,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280664,specimen,69993,,Collector(s): J. Rogers,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1993-07-23T02:00Z,1993,23-Jul-1993,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280665,specimen,70010,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1990-06-01T02:00Z,1990,01-Jun-1990,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280666,specimen,76210,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1993-01-01T01:00Z,1993,01-Jan-1993,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
88280667,specimen,70007,,Collector(s): New Mexico Department of Game and Fish,122,Museum of Southwestern Biology,"122,201911",MSB Mammal Collection (Arctos),1994-06-01T02:00Z,1994,01-Jun-1994,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,,,,,,,,,,,Eddy County,,New Mexico,,,,AK,US,http://www.msb.unm.edu/herpetology,http://www.msb.unm.edu/mammals,,,,,CC0_1_0
